2023-12-19 13:12:01.230 [main] INFO  c.h.p.h.HNetdiscBackApplication - [logStarting,55] - Starting HNetdiscBackApplication using Java 17.0.9 on DESKTOP-VP0S2IP with PID 5692 (D:\D\Project-Workshop\Java\java-components-skill\H-netdisc\H-netdisc-back\target\classes started by HAM in D:\D\Project-Workshop\Java\java-components-skill\H-netdisc\H-netdisc-back)
2023-12-19 13:12:01.234 [main] INFO  c.h.p.h.HNetdiscBackApplication - [logStartupProfileInfo,635] - No active profile set, falling back to default profiles: default
2023-12-19 13:12:01.798 [main] WARN  o.s.c.a.ClassPathScanningCandidateComponentProvider - [doScan,166] - No MyBatis mapper was found in '[com.hbx.project.hnetdiscback]' package. Please check your configuration.
2023-12-19 13:12:02.530 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Initializing ProtocolHandler ["http-nio-7090"]
2023-12-19 13:12:02.530 [main] INFO  o.a.c.c.StandardService - [log,173] - Starting service [Tomcat]
2023-12-19 13:12:02.530 [main] INFO  o.a.c.c.StandardEngine - [log,173] - Starting Servlet engine: [Apache Tomcat/9.0.55]
2023-12-19 13:12:02.584 [main] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring embedded WebApplicationContext
2023-12-19 13:12:03.264 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Starting ProtocolHandler ["http-nio-7090"]
2023-12-19 13:12:03.288 [main] INFO  c.h.p.h.HNetdiscBackApplication - [logStarted,61] - Started HNetdiscBackApplication in 2.689 seconds (JVM running for 4.594)
2023-12-19 13:12:08.340 [http-nio-7090-exec-2] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring DispatcherServlet 'dispatcherServlet'
